"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"60230";"https://dadosabertos.camara.leg.br/api/v2/eventos/60230";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1954344";"2020-12-21T13:12:00";"2020-12-21T13:41:00";"Encerrada";"Visita da Comissão ao Governo de Minas - SEPLAG - Secretário Otto Reis";"Visita Técnica";"Sala virtual";"";"";"";""
"60232";"https://dadosabertos.camara.leg.br/api/v2/eventos/60232";"";"2020-12-21T12:55:00";"2020-12-21T15:06:00";"Encerrada";"Breves Comunicados";"Outro Evento";"";"Plenário da Câmara dos Deputados";"";"";""
"60231";"https://dadosabertos.camara.leg.br/api/v2/eventos/60231";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1954731";"2020-12-18T17:33:27";"2020-12-18T20:29:01";"Encerrada (Final)";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60229";"https://dadosabertos.camara.leg.br/api/v2/eventos/60229";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1954626";"2020-12-18T12:12:08";"2020-12-18T17:30:54";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60227";"https://dadosabertos.camara.leg.br/api/v2/eventos/60227";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1953901";"2020-12-18T10:14:30";"2020-12-18T11:40:17";"Encerrada (Final)";"Reunião com entidades nacionais organizadas na convergência da luta antirracismo

Convidados:


- ANDREY LEMOS - União Nacional LGBT - UNALGBT;

- CLEBER SANTOS VIEIRA - Associação Brasileira de Pesquisadores Negros - ABPN;

- DENNIS OLIVEIRA - Quilombação;

- DHAY BORGES - Coletivo de Entidades Negras - CEN;

- EDSON FRANÇA - União de Negras e negros pela igualdade - UNEGRO;

- FERNANDA COSTA LIMA - União Nacional LGBT;
- FLÁVIO JORGE (Flavinho) - Coordenação Nacional de Entidades Negras - CONEN;

- GILBERTO CAMPOS BATISTA (GILBERTINHO) - Círculo Palmarino;

- IEDA LEGAL - Movimento Negro Unificado - MNU;
- JOÃO CARLOS PIO - Agentes de Pastoral Negros - APN´S

- ROSILENE TORQUATO - Agentes de Pastoral Negros do Brasil - APN'S;

- TAMIRES SAMPAIO - Coordenação Nacional de Entidades Negras - CONEN;

- UBIRACI MATILDES - Fórum Nacional de Mulheres Negras - FNMN;

- YURI SILVA - Coletivo de Entidades Negras - CEN;";"Reunião Técnica";"";"Anexo II, Plenário 05";"";"";""
"60224";"https://dadosabertos.camara.leg.br/api/v2/eventos/60224";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1954226";"2020-12-17T19:35:00";"2020-12-17T23:55:43";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60096";"https://dadosabertos.camara.leg.br/api/v2/eventos/60096";"";"2020-12-17T17:58:55";"2020-12-17T18:59:57";"Encerrada";"A Câmara dos Deputados, por iniciativa do Centro Cultural da Secretaria de Comunicação Social e do Centro de Documentação e Informação - Cedi, promoverá o evento virtual ""Encontro com a autora Nádia Gotlib"", no dia 17 de dezembro, das 18h às 19h. O evento será um bate-papo com a professora Nádia, que é biógrafa de Clarice Lispector.";"Debate";"";"Anexo II, Plenário 06";"";"";""
"60189";"https://dadosabertos.camara.leg.br/api/v2/eventos/60189";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1948626";"2020-12-17T15:00:00";"";"Cancelada";"Encerramento das atividades de 2020 do GT Mulher e Economia";"Painel";"";"Anexo II, Plenário 04";"";"";""
"60204";"https://dadosabertos.camara.leg.br/api/v2/eventos/60204";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1950481";"2020-12-17T10:00:00";"";"Cancelada";"Reunião Técnica por Videoconferência

Apresentação do Plano de Trabalho.";"Reunião Técnica";"";"Anexo II, Plenário 07";"";"";""
"60209";"https://dadosabertos.camara.leg.br/api/v2/eventos/60209";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1951126";"2020-12-17T09:52:59";"2020-12-17T12:23:24";"Encerrada";"Reunião Técnica por Videoconferência

Tema: A Retomada das Aulas Presenciais na Educação Básica em 2021

Convidados:

IZABEL LIMA PESSOA, Secretária de Educação Básica do Ministério da Educação;

MAURO LUIZ RABELO, Secretário Adjunto de Educação Básica do Ministério da Educação;

MARIA HELENA GUIMARÃES DE CASTRO, Presidente do Conselho Nacional de Educação - CNE;


MARIA CECÍLIA MOTTA, Presidente do Conselho Nacional de Secretários de Educação - CONSED;

ROSSIELI SOARES, Secretário de Educação do Estado de São Paulo;


LUIZ MIGUEL MARTINS GARCIA, Presidente da União de Dirigentes Municipais de Educação - UNDIME;

LUCIANA BECKER MAU, Médica Infectopediatra Representante do Ciências pela Escola;

MARCO AURÉLIO PALAZZI SÁFADI, Presidente do Departamento de Infectologia da Sociedade Brasileira de Pediatria - SBP; e

WANDERSON DE OLIVEIRA, Epidemiologista e Ex-secretário de Vigilância em Saúde do Ministério da Saúde.";"Reunião Técnica";"";"Anexo II, Plenário 03";"";"";""
"60226";"https://dadosabertos.camara.leg.br/api/v2/eventos/60226";"";"2020-12-17T13:05:00";"2020-12-17T15:54:02";"Encerrada";"Deliberação do Projeto de Lei nº 29. de 2020";"Outro Evento";"";"Plenário da Câmara dos Deputados";"";"";""
"60214";"https://dadosabertos.camara.leg.br/api/v2/eventos/60214";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1953983";"2020-12-17T09:11:29";"2020-12-17T19:33:30";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60223";"https://dadosabertos.camara.leg.br/api/v2/eventos/60223";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1953183";"2020-12-16T21:51:29";"2020-12-16T23:41:54";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60161";"https://dadosabertos.camara.leg.br/api/v2/eventos/60161";"";"2020-12-16T18:29:19";"2020-12-16T19:19:10";"Encerrada";"Edições Câmara lança ""Bibliografia Brasília"" no dia 16 deste mês


No próximo dia 16 de dezembro, a Edições Câmara lança mais uma publicação. É a obra ""Bibliografia Brasília"", organizada por Cristian Brayner.

O livro, que reúne as publicações nacionais e internacionais sobre a cidade, abarcando aspectos naturais, históricos, políticos, sociais e econômicos, é fruto de um projeto de cooperação técnica internacional entre a Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco), a Secretaria da Economia Criativa e Cultura do Governo do Distrito Federal (Secec) e a Câmara dos Deputados.

Com a obra, a Câmara dos Deputados espera contribuir para o trabalho de pesquisa daqueles que precisam encontrar e filtrar referências entre tantas disponíveis, uma vez que a coletânea reúne uma diversificada bibliografia sobre a capital do país. 

O evento de lançamento será transmitido, ao vivo, pelo canal oficial da Câmara dos Deputados no Youtube, a partir das 18h.

Serviço
Lançamento do livro ""Bibliografia Brasília
Data: 16 de dezembro, às 18h
Local: canal oficial da Câmara dos Deputados no Youtube";"Debate";"";"Anexo II, Plenário 01";"";"";""
"60221";"https://dadosabertos.camara.leg.br/api/v2/eventos/60221";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1953103";"2020-12-16T16:49:43";"2020-12-16T21:50:04";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60212";"https://dadosabertos.camara.leg.br/api/v2/eventos/60212";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1951634";"2020-12-16T15:00:00";"";"Cancelada";"Reunião Técnica por Videoconferência

Tema: A Situação Atual da Covid-19 no Brasil

Convidados: a confirmar

LUIZ OTAVIO FRANCO DUARTE, Secretário de Atenção Especializada à Saúde - SAES/MS;

Representante da CONASS;

Representante da CONASEMS.";"Reunião Técnica";"";"Anexo II, Plenário 03";"";"";""
"60213";"https://dadosabertos.camara.leg.br/api/v2/eventos/60213";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1951693";"2020-12-16T15:00:00";"";"Cancelada";"Reunião Técnica por Videoconferência

Tema: Por Que o Brasil Não Tem a Vacina da Pfizer?

Convidados:

- Cel. ÉLCIO FRANCO, Secretário Executivo do Ministério da Saúde - SE/MS;

- CAMILE SACHETTI, Diretora de Ciência e Tecnologia do Ministério da Saúde - DECIT/SCTIE;;

- GUSTAVO MENDES LIMA SANTOS, Gerente-Geral de Medicamentos e Produtos Biológicos da ANVISA.";"Reunião Técnica";"";"Anexo II, Plenário 03";"";"";""
"60115";"https://dadosabertos.camara.leg.br/api/v2/eventos/60115";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1944239";"2020-12-16T14:00:00";"";"Cancelada";"Coordenação: Deputado Luiz Lima (PSL/RJ)

Participantes:
- Luiz Fernando Coelho e Renato Cordani, respectivamente, presidente e vice-presidente da Confederação Brasileira de Desportos Aquáticos (CBDA).

Personalidades convidadas:
- Fabíola Molina, atualmente Secretária Nacional de Esporte, Lazer e Inclusão Social do Ministério da Cidadania e atleta olímpica da natação.

- Rogério Romero, Gerente de Esportes do Minas Tênis Clube e atleta olímpico da natação;

- Ian Matos, atleta olímpico da Seleção Brasileira de Saltos Ornamentais;

- Fernando Possenti, treinador da modalidade de Maratonas Aquáticas;

- Alexandre Pussieldi, treinador e comentarista esportivo;

- Talita Xavier Leal, treinadora da Associação Desportiva Fúria e Diretora de Arbitragem Geral de Nado Artístico da Federação de Esportes Aquáticos da Paraíba;

- Rudá Franco, representante do Polo Aquático na Comissão de Atletas da CBDA.";"Evento Técnico";"";"Anexo II, Plenário 04";"";"";""
"60216";"https://dadosabertos.camara.leg.br/api/v2/eventos/60216";"";"2020-12-16T10:36:38";"2020-12-16T16:14:32";"Encerrada";"Deliberação dos Projetos de Lei do CN nº 9 (LDO/2021), 29 e 41 de 2020";"Outro Evento";"";"Plenário da Câmara dos Deputados";"";"";""
"60211";"https://dadosabertos.camara.leg.br/api/v2/eventos/60211";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1951914";"2020-12-15T19:27:25";"2020-12-15T21:43:16";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60193";"https://dadosabertos.camara.leg.br/api/v2/eventos/60193";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1949590";"2020-12-15T18:10:00";"2020-12-15T20:25:00";"Encerrada";"Reunião interna da Comissão  com Atingidos e Instituições de Justiça";"Reunião Técnica";"Sala Virtual";"";"";"";""
"60205";"https://dadosabertos.camara.leg.br/api/v2/eventos/60205";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1950655";"2020-12-15T15:30:00";"";"Cancelada";"Visita virtual dos Deputados ao Governo de Minas - SEPLAC";"Visita Técnica";"Sala virtual";"";"";"";""
"60206";"https://dadosabertos.camara.leg.br/api/v2/eventos/60206";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1951661";"2020-12-15T14:30:10";"2020-12-15T19:26:22";"Encerrada (Final)";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60208";"https://dadosabertos.camara.leg.br/api/v2/eventos/60208";"";"2020-12-15T09:10:00";"2020-12-15T14:30:00";"Encerrada";"Breves Comunicados";"Outro Evento";"";"Plenário da Câmara dos Deputados";"";"";""
"60195";"https://dadosabertos.camara.leg.br/api/v2/eventos/60195";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1949789";"2020-12-14T15:15:00";"2020-12-14T16:15:00";"Encerrada";"Visita técnica  ao Dr. Elton Pupo,  2ª vara de fazenda publica MG";"Visita Técnica";"sala virtual TJMG";"";"";"";""
"60153";"https://dadosabertos.camara.leg.br/api/v2/eventos/60153";"";"2020-12-14T15:06:46";"2020-12-14T16:35:48";"Encerrada";"Evento promovido pela Secretaria da Transparência da Câmara dos Deputados, para debater as perspectivas do trabalho remoto, o comprometimento da transparência e a dificuldade do combate à corrupção no cenário da pandemia de covid-19.

Participantes:

- Deputado Roberto de Lucena, Secretário da Transparência da Câmara dos Deputados
- Deputada Soraya Santos, Primeira-Secretária da Câmara dos Deputados
- Deputado Vinicius Poit
- Tiago Modesto Carneiro, Secretário do TCU no Mato Grosso do Sul
- Manoel Galdino - Instituto Cidade Democrática";"Debate";"";"Anexo II, Plenário 07";"";"";""
"60198";"https://dadosabertos.camara.leg.br/api/v2/eventos/60198";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1951030";"2020-12-14T14:50:13";"2020-12-14T22:20:42";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60199";"https://dadosabertos.camara.leg.br/api/v2/eventos/60199";"";"2020-12-14T13:04:00";"2020-12-14T14:50:00";"Encerrada";"Breves Comunicados";"Outro Evento";"";"Plenário da Câmara dos Deputados";"";"";""
"60123";"https://dadosabertos.camara.leg.br/api/v2/eventos/60123";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1944594";"2020-12-14T09:31:04";"2020-12-14T13:12:20";"Encerrada";"Reunião da Frente Parlamentar Mista em Defesa do Cinema e Audiovisual";"Debate";"";"Anexo II, Plenário 06";"";"";""
"60143";"https://dadosabertos.camara.leg.br/api/v2/eventos/60143";"";"2020-12-11T10:07:41";"2020-12-11T11:29:18";"Encerrada";"O Câmara Mirim é uma simulação da atividade parlamentar e envolve reunião de comissões para elaboração de relatórios dos projetos de lei que, posteriormente, são discutidos numa sessão mirim que reproduz as sessões de Plenário. Este ano, por conta da pandemia, todas os encontros serão virtuais. 

Os projetos de lei foram escritos pelos estudantes que compõem as turmas dos educadores selecionados para a edição 2020. Como nos outros anos, serão selecionados 3 propostas para serem discutidas e votadas em três encontros. Dois dos encontros, sendo um matutino e um vespertino, corresponderão às reuniões de comissão, nos dias 09 e 10/12 respectivamente. O terceiro encontro, no dia 11/12, pela manhã, corresponderá à sessão plenária. 

Está prevista também uma visita virtual à Câmara, no dia 11/12, à tarde.";"Simpósio";"";"Anexo II, Plenário 07";"";"";""
"60197";"https://dadosabertos.camara.leg.br/api/v2/eventos/60197";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1950238";"2020-12-10T21:10:36";"2020-12-11T00:41:01";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60192";"https://dadosabertos.camara.leg.br/api/v2/eventos/60192";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1950162";"2020-12-10T15:59:00";"2020-12-10T21:06:49";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60196";"https://dadosabertos.camara.leg.br/api/v2/eventos/60196";"";"2020-12-10T15:30:00";"";"Cancelada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60080";"https://dadosabertos.camara.leg.br/api/v2/eventos/60080";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1942224";"2020-12-10T15:00:00";"2020-12-13T20:17:00";"Encerrada";"Premiação Concurso Lei Maria da Penha Encerramento 21 Dias de Ativismo";"Painel";"";"Anexo II, Plenário 03";"";"";""
"60191";"https://dadosabertos.camara.leg.br/api/v2/eventos/60191";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1949819";"2020-12-10T11:04:11";"2020-12-10T15:58:29";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"60167";"https://dadosabertos.camara.leg.br/api/v2/eventos/60167";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1946716";"2020-12-10T10:11:32";"2020-12-10T11:14:50";"Encerrada";"Presidida pelo deputado Roberto de Lucena (Podemos-SP), a Frente Parlamentar Mista em Defesa dos Direitos Humanos e pela Justiça Social será lançada no dia 10 de dezembro, às 10h, com transmissão para o canal do youtube da Câmara dos Deputados.



 
Com foco na promoção de políticas de liberdade, de igualdade, proteção e justiça, a Frente presidida por Lucena promete aproximar, ainda mais, o Congresso Nacional dos dilemas que afrontam os Direitos Humanos no Brasil e a promoção de Justiça. A proposta é ser um canal de articulação no parlamento e de comunicação com a sociedade para trazer à prática o debate sobre os valores que asseguram a dignidade da pessoa humana, enfrentando as mazelas sociais que dificultam a valorização da vida e, especialmente, promovendo o bem comum”, comentou Lucena.





Essa é uma pauta suprapartidária que extrapola os dogmas da orientação ou preferência política. É preciso ter responsabilidade quando se trata de Direitos Humanos. 
No Brasil temos assuntos urgentes a tratar, como o combate à violência contra a mulher, criança e idosos, a liberdade religiosa, a proteção aos povos e comunidades tradicionais, entre tantos outros assuntos que precisam ser priorizados, sem esquecer do auxílio aos mais vulneráveis, atingidos pela pandemia. É inesgotável a nossa pauta de debate”, afirmou Lucena.




Nomes como o Ministro da Justiça e Segurança Pública do Brasil, André Mendonça, a Ministra da Mulher, da Família e dos Direitos Humanos, Damares Alves e o presidente do Instituto Brasileiro de Direito e Religião, Thiago Rafael Vieira, devem participar do lançamento da Frente, no formato online. “Começar nossas atividades reforçando o diálogo com agentes tão importantes será de grande valia. 
A expectativa por um resultado eficaz para o investimento nesse trabalho é grandiosa. Uma democracia fortalecida sabe investir em Direitos Humanos. Sem o princípio  da dignidade da pessoa humana e a busca incessante pelo bem comum,  não há democracia que faça sentido. Daremos nossa contribuição, arrematou o parlamentar.";"Debate";"";"Anexo II, Plenário 06";"";"";""
"60190";"https://dadosabertos.camara.leg.br/api/v2/eventos/60190";"";"2020-12-10T10:00:00";"2020-12-10T11:04:00";"Encerrada";"Breves Comunicados";"Outro Evento";"";"Plenário da Câmara dos Deputados";"";"";""
"60188";"https://dadosabertos.camara.leg.br/api/v2/eventos/60188";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1948598";"2020-12-09T19:22:52";"2020-12-09T21:41:45";"Encerrada";"Ato virtual contra a Reforma Administrativa da FP do Serviço Público";"Debate";"";"Anexo II, Plenário 06";"";"";""
"60174";"https://dadosabertos.camara.leg.br/api/v2/eventos/60174";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1947158";"2020-12-09T15:56:53";"2020-12-09T17:40:45";"Encerrada";"Reunião Técnica por Videoconferência

Tema: A Pandemia da COVID19 e os Impactos na Terapia Renal Substitutiva

Convidados:


- MÁRCIO IRITA HARO, Coordenador Geral de Atenção Especializada do Ministério da Saúde;


- MARCOS ALEXANDRE VIEIRA, Presidente da Associação Brasileira dos Centros de Diálise e Transplante - ABCDT;


- CARLOS PINHO, Diretor Executivo da ABCDT;


- DANIEL CALAZANS, Vice-Presidente da Sociedade Brasileira de Nefrologia - SBN;
 e


- HUMBERTO FLORIANO MENDES, Diretor de Comunicação da Federação Nacional das Associações de Pacientes Renais e Transplantados do Brasil - FENAPAR.";"Reunião Técnica";"";"Anexo II, Plenário 03";"";"";""
